Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Adamantina,3500105,adamantinense,JOSÉ CARLOS MARTINS TIVERON,411.987,34687,84.19,35642,97.6,0.79,10.5,286080113.6,274074871.2,38997.12
Adolfo,3500204,adolfino,RICARDO DI GIORGIO ROBLES,211.055,4351,20.62,4478,98.6,0.73,-,46693392.52,41404998.46,32578.28
Aguaí,3500303,aguaiano,GILBERTO LUIZ MORAES SELBER,474.554,32072,67.58,32888,95.8,0.715,8.11,171102182.7,161253061.8,35551.7
Águas da Prata,3500402,pratense,CARLOS HENRIQUE FORTES DEZENA,142.673,7369,51.65,7470,98.8,0.781,14.49,52442167.71,50467736.77,25297.02
Águas de Lindóia,3500501,lindoiense,GERALDO MANTOVANI FILHO,60.126,17930,298.21,18245,96.2,0.745,4.69,147244937,144977225.8,30971.23
Águas de Santa Bárbara,3500550,santa-barbarense,WILIAN JOSÉ DE OLIVEIRA MEANA,404.463,7177,17.74,7407,98.2,0.757,-,63890742.73,60798714.74,35378.64
Águas de São Pedro,3500600,água-pedrense,JOÃO VICTOR BARBOZA,3.612,2780,769.66,2829,98.4,0.854,-,55032678.85,48768862.63,41208.23
Agudos,3500709,agudense,RAFAEL LIMA FERNANDES,966.708,37680,38.98,38879,97.9,0.745,6.26,235647258.6,215917044.8,70209.74
Alambari,3500758,alambariense,JOÃO PAULO DANTAS PINTO,159.6,6141,38.48,6330,99.3,0.712,-,42092575.62,40574557.43,20765.46
Alfredo Marcondes,3500808,marcondense,CELSO PIRANI PASSOS,118.915,4445,37.38,4556,98.6,0.741,-,36036979.4,30826665.26,28649.11
Altair,3500907,altairense,MARCO ANTONIO FERREIRA,313.007,3451,11.03,3479,96,0.687,25,38144937.48,34653445.74,26662.17
Altinópolis,3501004,altinopolense,HUELDER DONIZETE MALAGUTTI FERREIRA,928.956,16818,18.1,17156,99.3,0.73,5.49,108861525.7,104303207.5,51377.61
Alto Alegre,3501103,alto-alegrense,CARLOS SUSSUMI IVAMA,318.574,3841,12.06,3883,95.1,0.7,68.97,41467364.95,38291266.07,27853.08
Alumínio,3501152,aluminense,ANA PAULA DE CASSIA NETTO,83.619,17301,206.9,17591,98.8,0.766,10.99,165607002.7,160540506.1,210670.96
Álvares Florence,3501202,alvares florencense,ADILSON BATISTA LEITE,362.411,3915,10.8,3978,99.3,0.728,-,38507057.27,34739096.72,34389.1
Álvares Machado,3501301,machadense,LUIZ FRANCISCO BOIGUES,347.647,27255,78.4,28250,98.3,0.758,12.08,121660915.1,112684450.9,28306.72
Álvaro de Carvalho,3501400,carvalhense,ADILSON DE OLIVEIRA LOPES,153.662,4808,31.29,4896,99.2,0.688,-,30127725.32,29375137.28,11012.49
Alvinlândia,3501509,alvinlandense,ANTONIO FERREIRA DE MORAES JUNIOR,84.879,2885,33.99,2923,99.3,0.722,-,29793502.93,25805885.28,17965.24
Americana,3501608,americanense,FRANCISCO ANTONIO SARDELLI,133.912,237240,1771.61,246655,98,0.811,9.41,1310295460,1299555473,62271.47
Américo Brasiliense,3501707,américo-brasiliense,TEREZINHA APARECIDA VIVEIROS DE SOUZA,122.958,33019,268.54,33757,98.6,0.751,14.2,176163207.9,177341484.1,29617.13
Américo de Campos,3501806,americampense,RAFAEL GIMENEZ MARIOTO,252.876,5870,23.21,5975,98.2,0.745,-,44216495.23,41428514.22,21158.4
Amparo,3501905,amparense,CARLOS ALBERTO MARTINS,445.323,68008,152.72,69717,95.7,0.785,9.83,487747723.1,477933742.4,70437.56
Analândia,3502002,analandense,SILVANA MARCIA PERIN CAMPBELL PENNA,325.953,4589,14.08,4684,99.7,0.754,18.87,53032684.32,51786190.31,40726.1
Andradina,3502101,andradinense,MARIO CELSO LOPES,964.226,59783,62,61473,98.2,0.779,8.59,289283614.4,278663210.4,49703.65
Angatuba,3502200,angatubense,NICOLAS BASILE ROCHEL,1027.288,24022,23.38,24512,98.3,0.719,9.35,155271492.3,162126152.7,57306.48
Anhembi,3502309,anhembiense,JAIRO DE GÓIS,736.557,5674,7.7,5766,97.2,0.721,30.3,55836417.23,55483602.5,24534.54
Anhumas,3502408,anhumense,ADAILTON CESAR MENOSSI,320.84,4023,12.54,4108,98.3,0.741,20,40830605.04,37562789.05,25316.58
Aparecida,3502507,aparecidense,JOSE LUIZ RODRIGUES,120.89,32569,269.41,33223,98.4,0.755,12.23,204394077.7,213536197.2,28750.03
Aparecida d'Oeste,3502606,aparecidense,IZAIAS APARECIDO SANCHEZ,179.004,4086,22.83,4124,97.7,0.721,-,37925299.92,38866903.62,36763.62
Apiaí,3502705,apiaiense,SERGIO VICTOR BORGES BARBOSA,974.322,24585,25.23,24886,97.3,0.71,-,131510593.3,121039914.4,37278.88
Araçariguama,3502754,araçariguamense,RODRIGO DE ANDRADE,145.204,21522,148.22,22168,98.2,0.704,14.2,221444693.1,236492356.3,206250.44
Araçatuba,3502804,araçatubense,LUCAS PAVAN ZANATTA,1167.126,200124,171.47,207775,97.6,0.788,13.91,979569762.4,859862855.6,45268.6
Araçoiaba da Serra,3502903,araçoiabano,JOSÉ CARLOS DE QUEVEDO JUNIOR,255.305,32443,127.08,33656,99.4,0.776,-,204561589,219710112,34075.1
Aramina,3503000,araminense,LUIS SÉRGIO CELESTE JORGE,202.829,5420,26.72,5526,98.7,0.74,33.33,40486505.88,41531394.88,26415.31
Arandu,3503109,aranduense,FLAVIO CARLOMAGNO GALHEGO,285.908,6885,24.08,7050,98.4,0.685,25.97,53197142.55,58076898.12,30569.27
Arapeí,3503158,arapeiense,RENÊ LÚCIO GONÇALVES,156.903,2330,14.85,2355,98.7,0.68,-,37002710.98,39819289.79,18584.03
Araraquara,3503208,araraquarense,LUIS CLAUDIO LAPENA BARRETO,1003.625,242228,241.35,252318,98.7,0.815,6.4,1536427549,1521074816,49692.93
Araras,3503307,ararense,IRINEU NORIVAL MARETTO,644.831,130866,202.95,135331,97.5,0.781,9.76,855202935.9,892353253.2,50772.4
Arco-Íris,3503356,arcoirense,ALDO MANSANO FERNANDES,264.904,2044,7.72,2085,99.1,0.722,-,30366963.62,25803609.09,35382.28
Arealva,3503406,arealvense,PAULO JULIANO NICOLIELO JUNIOR,506.226,8130,16.06,8280,99.6,0.744,20.62,54103645.98,51714562.8,26206.9
Areias,3503505,areiense,RODRIGO JOSE RAMOS DE OLIVEIRA,305.227,3577,11.72,3625,96.8,0.697,-,48672873.97,51528796.21,14877.99
Areiópolis,3503604,areiopolitano,MICHEL HENRIQUE AUGUSTO,85.907,10130,117.92,10257,97.3,0.695,16.67,58475463.02,50713329.42,14577.19
Ariranha,3503703,ariranhense,EMERSON ANTONIO TROVÓ,132.624,7602,57.32,7653,99.6,0.733,-,69870850.02,63362117.67,115410.74
Artur Nogueira,3503802,nogueirense,LUCAS SIA RISSATO,178.026,51456,289.04,53157,98.3,0.749,3.27,273541873.6,287794746.1,30610.29
Arujá,3503901,arujaense / arujano,LUIS ANTONIO DE CAMARGO,96.167,86678,901.33,89943,98.2,0.784,6.06,575898129.7,585147148.9,89703.63
Aspásia,3503950,aspasiense,IVAN DE PAULA,69.373,1842,26.55,1873,97.1,0.735,-,27343253.6,21880153.12,21788.35
Assis,3504008,assisense,TELMA GONCALVES CARNEIRO SPERA DE ANDRADE,460.609,101409,220.16,104642,98.9,0.805,12.46,555176558,564584304.8,38598.78
Atibaia,3504107,atibaiano,DANIEL DA ROCHA MARTINI,478.521,158647,331.54,166043,97.3,0.765,8.03,1142297729,1121394897,57512.36
Auriflama,3504206,auriflamense,KATIA CONCEIÇÃO MORITA DE CARVALHO,434.498,13692,31.51,13873,98.8,0.773,13.99,82442704.54,71596024.23,23409.76
Avaí,3504305,avaiense,HELLEN FERNANDES RODRIGUES COELHO,540.689,4483,8.29,4519,99.4,0.714,40.54,44804157.35,45359812.12,68793.46
Avanhandava,3504404,avanhandavense,NORBERTO CESAR BERALDO,338.37,11263,33.29,11438,97.2,0.705,8.62,72988974.26,70466171.25,14178.27
Avaré,3504503,avareense,ROBERTO DE ARAUJO,1213.055,92805,76.51,96098,97.9,0.767,17.48,482858670.2,483852554.9,35721.22
Bady Bassitt,3504602,badiense,JANIMEIRI CATELANI BUZZI,110.372,27260,246.98,28909,98.5,0.746,8.88,141577918.4,154097398.2,30636.12
Balbinos,3504701,balbinense,JOSE MARCIO RIGOTTO,91.635,3887,42.42,3963,98.9,0.669,-,26368867.21,23014159.68,10674.14
Bálsamo,3504800,balsamense,JOSE EDUARDO NALIATI JUNIOR,149.881,9596,64.02,9854,99,0.756,-,56998822.71,54995429.27,30257.55
Bananal,3504909,bananalense,WILLIAM LANDIM DA SILVA,616.429,9969,16.17,10109,97.1,0.733,-,68894590.63,67036850.34,19568.66
Barão de Antonina,3505005,barãoense,RODRIGO WALDEMAR MARQUES,153.142,3531,23.06,3618,100,0.711,-,34552852.07,28879114.24,21264.23
Barbosa,3505104,barbosano,RODRIGO PRIMO ANTUNES,205.212,5640,27.48,5659,98.4,0.699,25.97,45266244.09,43106693.17,14488.16
Bariri,3505203,baririense,AIRTON LUIS PEGORARO,444.405,31595,71.1,32405,96.3,0.75,11.73,173279240.9,173029939.5,45290.86
Barra Bonita,3505302,barra-bonitense,MANOEL FABIANO FERREIRA FILHO,150.121,34346,228.79,35159,99.8,0.788,16.39,215057439.1,213070578.5,41955.79
Barra do Chapéu,3505351,barrense,IVANIL NORBERTO PEREIRA NOLASCO,405.681,5179,12.77,5256,96.9,0.66,11.49,42610971.46,40025899.1,23082.16
Barra do Turvo,3505401,barra-turvense,VICTOR MARUYAMA,1007.684,6876,6.82,6922,95.6,0.641,17.54,60345082.74,56221789.71,16542.32
Barretos,3505500,barretense,ODAIR DE MOURA E SILVA,1566.161,122485,78.21,126600,97.8,0.789,12.93,979994224.9,1086979265,47783.95
Barrinha,3505609,barrinhense,MARIA LÚCIA TERESINHA GROTTA,146.025,32092,219.77,33181,97.5,0.725,7.92,149991558.3,146377793,18630.66
Barueri,3505708,barueriense,JOSE ROBERTO PITERI,65.701,316473,4816.87,330339,97.8,0.786,7.45,4950967905,4703546013,207460.98
Bastos,3505807,bastense,KLEBER LOPES DE SOUSA,170.912,21503,125.81,21900,98.5,0.751,7.52,128154190,117874133.3,50936.28
Batatais,3505906,batataense,LUIS FERNANDO BENEDINI GASPAR JUNIOR,849.526,58402,68.75,59873,97.7,0.761,16.1,317917378.4,314669142.1,38097.08
Bauru,3506003,bauruense,SUÉLLEN SILVA ROSIM,667.684,379146,567.85,391740,96.9,0.801,9.97,1807245548,1986946253,43806.93
Bebedouro,3506102,bebedourense,LUCAS GIBIN SEREN,683.192,76373,111.79,78210,98.5,0.78,11.46,456948769.8,477287928.3,52575.43
Bento de Abreu,3506201,bento-abreuense,TEREZINHA DO CARMO SALESSE,301.687,2606,8.64,2642,97.9,0.744,-,37969973.56,32645887.89,69504.55
Bernardino de Campos,3506300,bernardinense,WILSON JOSE GARCIA,244.158,11607,47.54,11852,98.3,0.734,-,68194050.75,63179998.07,33842.25
Bertioga,3506359,bertioguense,MARCELO HELENO VILARES,491.546,64188,130.58,66873,98.1,0.73,16.77,1001472338,954137770.8,31255.51
Bilac,3506409,bilaquense,ANTÔNIO FERREIRA LOUREIRO,158.025,7319,46.32,7455,99,0.768,46.88,57746217.7,53310247.72,35693.15
Birigui,3506508,biriguiense,SAMANTA PAULA ALBANI BORINI,530.031,118979,224.48,122988,98,0.78,13.48,589614160.1,615993968.2,31305.12
Biritiba Mirim,3506607,biritibano,CARLOS ALBERTO TAINO JUNIOR,317.406,29683,93.52,30526,97.7,0.712,2.79,143188092.9,139474918.4,29190.32
Boa Esperança do Sul,3506706,boa-esperancense,JOSÉ MANOEL DE SOUZA,690.748,12978,18.79,13135,96,0.681,11.49,90356347.45,88681432.64,25197.09
Bocaina,3506805,bocainense,CAIO AUGUSTO CREPALDI,363.926,11259,30.94,11467,99.3,0.742,24.19,75234075.38,70697734.15,22429.71
Bofete,3506904,bofetense,EUGENIO CARLOS ALVES,653.541,10460,16.01,10688,95.1,0.705,8.26,72485560.2,70297242.73,17546.39
Boituva,3507001,boituvense,EDSON JOSE MARCUSSO,248.954,61081,245.35,63415,98.7,0.78,13.92,391042085.9,394639257.3,53597.04
Bom Jesus dos Perdões,3507100,perdoense,SÉRGIO FERREIRA,108.366,22006,203.07,22501,97.7,0.713,10.07,144261232.1,134596335.4,55196.42
Bom Sucesso de Itararé,3507159,bom sucessiense,DIRCEU PACHECO DE OLIVEIRA,133.578,3555,26.61,3610,98.3,0.66,-,30642885.01,28310475.81,15912.41
Borá,3507209,boraense,LUIZ CARLOS RODRIGUES,118.951,907,7.62,928,94.6,0.746,-,23356682.86,20812939.16,88432.72
Boracéia,3507308,boraceense,MARCOS VINICIO BILANCIERI,122.11,4715,38.61,4823,99.3,0.754,-,41026111.62,34286655.84,105669.34
Borborema,3507407,borboremense,SHEILA MARIA GONÇALVES DE OLIVEIRA,552.256,14226,25.76,14415,98.3,0.73,29.2,99657452.41,100489624.2,31833.29
Borebi,3507456,borebiense,ANDERSON PINHEIRO DE GOES,347.989,2713,7.8,2787,99.5,0.705,-,40350448.19,39097246.75,27255.19
Botucatu,3507506,botucatuense,FABIO VIEIRA DE SOUZA LEITE,1482.642,145155,97.9,150442,97.8,0.8,9.6,715906667.3,706875948.5,39937.48
Bragança Paulista,3507605,bragantino,EDMIR JOSE ABI CHEDID,512.584,176811,344.94,184634,97,0.776,11.98,938185050.2,890811524.7,46153.09
Braúna,3507704,braunense,MAICON APARECIDO SUBIRES RIBEIRO,195.176,5356,27.44,5466,98.6,0.737,-,39729493.95,35440229.45,20826.02
Brejo Alegre,3507753,brejoalegrense,RAFAEL ALVES DOS SANTOS,105.689,2565,24.27,2605,95.9,0.71,41.67,29485261.76,29459293.47,25996.26
Brodowski,3507803,brodosquiano,FÁBIO MAXIMINIANO VERCEZI SEVERI,278.458,25201,90.5,26167,97.5,0.755,7.41,177614502.3,148280529.3,34947.5
Brotas,3507902,brotense,ALEXSANDRA BERTO BRANDÃO,1101.373,23898,21.7,24423,99.1,0.74,7.66,185787228,184191865.5,45209.02
Buri,3508009,buriense,GERMANO ALMEIDA PESCHEL,1196.463,20250,16.92,20674,98.5,0.667,10.42,131675256.5,120832055,34121.21
Buritama,3508108,buritamense,TIAGO LUIZ DE OLIVEIRA,326.921,17210,52.64,17597,96.7,0.763,-,123607995.1,118585259.3,36037.97
Buritizal,3508207,buritinense,DANIEL SARRETA,266.42,4356,16.35,4447,99.4,0.735,20,54174760.57,49288568.52,53769.11
Cabrália Paulista,3508306,cabraliense,ODEMIL ORTIZ DE CAMARGO,239.974,4299,17.91,4362,97.5,0.694,-,35667925.32,32070056.92,24368.03
Cabreúva,3508405,cabreuvano,NOEMI MEDEIROS BERNARDES,260.234,47011,180.65,48473,97.3,0.738,19.15,384962153,387999555.2,116591.7
Caçapava,3508504,caçapavense,YAN LOPES DE ALMEIDA,368.99,96202,260.72,99678,98,0.788,7.41,448548594.7,429111911.2,54458.95
Cachoeira Paulista,3508603,cachoeirense,BRENO BARBOSA ANAYA XAVIER,287.99,31564,109.6,32482,98,0.764,26.55,128673823.1,118856689.9,19914.05
Caconde,3508702,cacondense,JOSÉ AFONSO DE PAIVA,468.214,17101,36.52,17266,97.7,0.72,5.85,88990955.81,81192251.17,30182.07
Cafelândia,3508801,cafelandense,TAIS FERNANDA MAIMONI CONTIERI SANTANA,920.28,16654,18.1,16905,96.7,0.742,27.17,109637831.7,105973752.6,38094.8
Caiabu,3508900,caiabuense,SUELEN NARA MATOS MATIVE,253.352,3712,14.65,3745,98.9,0.729,27.03,35560834.51,34349611.01,16640.38
Caieiras,3509007,caieirense,GILMAR SOARES VICENTE,97.642,95032,973.27,98257,94.8,0.781,17.72,502542465.2,461168430.8,46700.03
Caiuá,3509106,caiuense,JAYME SALVADOR ALVES,551.159,5466,9.92,5585,99.3,0.697,-,47853699.04,49376962.93,15997.16
Cajamar,3509205,cajamarense,KAUAN BERTO SOUSA SANTOS,131.386,92689,705.47,97363,96.5,0.728,14.64,1102752938,1014461015,287384.67
Cajati,3509254,cajatiense,LUIZ HENRIQUE KOGA,454.489,28515,62.75,29257,98.4,0.694,9.26,206663628.9,188161139.1,61714.65
Cajobi,3509304,cajobiense,MARCIO DONIZETI BARBARELLI,176.929,9133,51.62,9232,99.7,0.734,-,59154197.9,53115612.71,16049.99
Cajuru,3509403,cajuruense,ALEX MORETINI,660.088,23830,36.1,24217,97.1,0.713,17.29,118783518.2,106395738.9,28623.2
Campina do Monte Alegre,3509452,campinomontealegrense,MARCELO LISBÔA MACHADO,184.479,5954,32.27,6077,97.5,0.717,13.89,43566386.43,44767763.92,24817.17
Campinas,3509502,campineiro,DÁRIO JORGE GIOLO SAADI,794.571,1139047,1433.54,1185977,96,0.805,10.12,8041627842,8324596130,59634.21
Campo Limpo Paulista,3509601,campo-limpense,ADEILDO NOGUEIRA DA SILVA,79.403,77632,977.7,79663,96.7,0.769,5.93,412894684.5,426017175.7,29291.03
Campos do Jordão,3509700,jordanense,CARLOS EDUARDO PEREIRA DA SILVA,289.981,46974,161.99,47983,97.1,0.749,9.92,366428674.7,340453978.9,27503.81
Campos Novos Paulista,3509809,campos-novense,FLAVIO FERMINO EUFLAUZINO,484.199,4888,10.1,4991,97.9,0.706,21.28,49978294.09,47036624.87,38724.17
Cananéia,3509908,cananeiense,ANDRE NOGUEIRA SANCHES,1237.354,12289,9.93,12489,97.3,0.72,29.41,88207890.39,110747572.1,21082
Canas,3509957,canense,GUSTAVO ZANIN LUCENA FAMADAS,53.261,4931,92.58,5049,98.3,0.704,16.13,37264951.21,37543598.5,24688.77
Cândido Mota,3510005,cândido-motense,ERALDO JOSE PEREIRA,595.811,29449,49.43,30172,98.2,0.747,3.32,185592486.1,196628222.8,48339.61
Cândido Rodrigues,3510104,cândido-rodriguense,TIAGO ALEX RAVAZZI,70.892,2889,40.75,2951,99,0.789,-,34436545.59,32099127.24,38184.58
Canitar,3510153,canitarense,JOEL RODRIGUES,57.459,6283,109.35,6524,96.1,0.68,10,40902412.61,37784537.37,30627.93
Capão Bonito,3510203,capão-bonitense,JULIO FERNANDO GALVÃO DIAS,1640.229,46337,28.25,47403,98.7,0.721,10.81,281809503.9,262812647.8,26945.89
Capela do Alto,3510302,capelense,HENRIQUE DANIEL LEME,169.89,22866,134.59,23597,96.5,0.699,16.95,118559526.7,122018772,18457.62
Capivari,3510401,capivariano,VITOR HUGO RICCOMINI,322.878,50068,155.07,51318,97.3,0.75,17.7,366480523.7,360777281.1,52495.21
Caraguatatuba,3510500,caraguatatubense,MATEUS VENEZIANI DA SILVA,484.947,134873,278.12,141084,97.7,0.759,10.56,1158998987,1180755505,36201.7
Carapicuíba,3510609,carapicuibano,JOSE ROBERTO DA SILVA,34.546,386984,11201.99,398462,96.2,0.749,18.35,1007656159,989328283,16909.54
Cardoso,3510708,cardosense,LUÍS PAULO BEDNARSKI PEDRASSOLLI,639.248,11345,17.75,11491,96.8,0.722,-,81487255.73,78887320.5,25957.47
Casa Branca,3510807,casa-branquense,ANTONIO EDUARDO MARÇON NOGUEIRA,864.225,28083,32.5,28786,96.9,0.73,13.7,175021832,166294315.8,38464.9
Cássia dos Coqueiros,3510906,cassiano,SILVIO SANTOS DOS REIS FARIA,191.683,2799,14.6,2855,99.5,0.734,-,32157272.55,30830005.98,117809.94
Castilho,3511003,castilhense,PAULO DUARTE BOAVENTURA,1065.318,19977,18.75,20418,99.1,0.731,5.15,165558582,163630889.9,64508.48
Catanduva,3511102,catanduvense,OSVALDO DE OLIVEIRA ROSA,290.596,115791,398.46,119172,98.1,0.785,8.39,709798842.4,761056283,42386.42
Catiguá,3511201,catigüense,CLAUDEMIR JOSE GRAVA,148.393,7003,47.19,7105,98.4,0.751,33.33,39502050.36,35484222.24,19342.42
Cedral,3511300,cedralense,IRINEO BEOLCHI JUNIOR,197.838,12618,63.78,13160,98.7,0.766,7.3,86622056.16,82872270.15,56401.2
Cerqueira César,3511409,cerqueirense,DIEGO AUGUSTO BERTI CINTO,511.621,21469,41.96,22076,98.2,0.729,27.27,118573099.9,105400120.7,46928.25
Cerquilho,3511508,cerquilhense,PAULO ROBERTO PILON,127.803,44695,349.72,46217,99.6,0.782,-,271813901,274239585,46293.89
Cesário Lange,3511607,cesariano-lange,RAMIRO DE CAMPOS,190.392,19048,100.05,19588,96.3,0.706,21.01,108539953.5,98556386.25,39826.25
Charqueada,3511706,charqueadense,RODRIGO DE ARRUDA,175.846,15535,88.34,15798,97.9,0.736,10.42,89943405.43,87974698.93,29370.12
Clementina,3511904,clementinense,GILSON ROBERTO RODRIGUES CRIOLEZIO,168.59,6982,41.41,7087,98,0.725,11.36,46812597.12,41747294.86,20959.14
Colina,3512001,colinense,VALDEMIR ANTONIO MORALLES,422.303,18486,43.77,18842,98.4,0.757,9.17,155459986.7,143894492.5,82881.19
Colômbia,3512100,colombiense,JULIO CÉSAR DOS SANTOS,728.648,6629,9.1,6781,99.2,0.71,25.32,82671746.94,77499747.77,59974.07
Conchal,3512209,conchalense,ORLANDO CALEFFI JUNIOR,182.793,28101,153.73,29034,96.7,0.708,19.37,191732743.5,174884120.6,30159.5
Conchas,3512308,conchense,PAULO NUNES DE ALMEIDA,466.12,15232,32.68,15381,97.6,0.736,11.7,97450424.1,91594685.48,23872.16
Cordeirópolis,3512407,cordeiropolense,MARIA CRISTINA DEGASPARI ABRAHÃO SAAD,137.579,24514,178.18,25130,96.7,0.758,23.89,305022894.5,278499074.7,163554.17
Coroados,3512506,coroadense,ROBERTO CARRILHO ALVES,246.825,5400,21.88,5498,98.3,0.719,-,43261304.46,37271480.88,35303.73
Coronel Macedo,3512605,macedense,DIEGO GARCIA BATISTA,303.83,4280,14.09,4295,99.1,0.69,48.78,45652756.36,39988842.69,30746.6
Corumbataí,3512704,corumbataiense,JOÃO BATISTA ALTARUGIO FILHO,278.622,4195,15.06,4285,97,0.754,25,45770087.96,41228235.61,84731.24
Cosmópolis,3512803,cosmopolense,ANTONIO CLAUDIO FELISBINO JUNIOR,154.665,59773,386.47,61204,98,0.769,12.99,318051685.3,340010328.2,28255.87
Cosmorama,3512902,cosmoramense,NELSON NARCISO DA SILVEIRA JUNIOR,441.68,8719,19.74,8968,97.9,0.722,19.61,63899691.72,62936973.04,69530.67
Cotia,3513009,cotiano,WELINGTON APARECIDO ALFREDO,323.994,274413,846.97,287004,97.5,0.78,14.9,1595488305,1501408436,62486.58
Cravinhos,3513108,cravinhense,ITAMAR GOMES BUENO,311.423,33281,106.87,34252,98.1,0.756,22.22,239771749.5,228374353.6,48891.09
Cristais Paulista,3513207,cristalense,ELSON GOMES DOS SANTOS,385.23,9272,24.07,9543,98.2,0.734,9.17,59444293.68,55214827.05,39369.07
Cruzália,3513306,cruzaliense,ARILDO OSMAR DE MORO,149.33,2108,14.12,2129,97.8,0.774,-,34584095.08,31370404.22,68116.76
Cruzeiro,3513405,cruzeirense,JOSE KLEBER LIMA SILVEIRA JUNIOR,305.699,74961,245.21,76513,97.6,0.788,14.05,353062672.8,380282259.4,38390.41
Cubatão,3513504,cubatense,CESAR DA SILVA NASCIMENTO,142.879,112476,787.21,115082,98,0.737,14.17,1682937465,1654562626,165607.5
Cunha,3513603,cunhense,RODRIGO SERGIO DO NASCIMENTO,1407.25,22110,15.71,22456,98,0.684,8.3,114835575.2,114975421.2,15269.84
Descalvado,3513702,descalvadense,LUIS GUILHERME PANONE,753.706,31756,42.13,32622,98.6,0.76,13.94,202047067.5,194187335.7,61036.51
Diadema,3513801,diademense,TAKAHARU YAMAUCHI,30.732,393237,12795.69,404118,96.8,0.757,12.99,1862803200,1937982169,43031.91
Dirce Reis,3513850,dircense,MARCELO JOSÉ BERNARDO,88.133,1620,18.38,1641,100,0.741,-,28282006.28,26193333.61,38685.19
Divinolândia,3513900,divinolandense,ANTONIO DE PADUA AQUISTI,223.749,11158,49.87,11314,98.6,0.734,-,69817331.43,70537348.95,44568.55
Dobrada,3514007,dobradense,ANTONIO CARLOS DE MATTOS SANTOS,149.729,8759,58.5,8958,99.5,0.718,-,42125194.46,42923623.87,15286.82
Dois Córregos,3514106,dois-correguense,ALCEU ANTONIO MAZZIERO,632.972,24510,38.72,24855,96.7,0.725,3.69,156306567.3,144444351.9,30150.85
Dolcinópolis,3514205,dolcinopolense,DIEGO APARECIDO PEREIRA MIGUEL,77.939,2207,28.32,2250,100,0.742,-,29281135.94,27039265.55,27963.37
Dourado,3514304,douradense,LUIZ ANTONIO ROGANTE JUNIOR,205.874,8096,39.33,8186,100,0.738,-,61644676.71,57308651.15,90318.49
Dracena,3514403,dracenense,GENI PEREIRA LOBO PESIN,487.688,45474,93.24,46664,98.2,0.776,10.02,227943931.4,251146932.9,30557.62
Duartina,3514502,duartinense,SUZY HELENA SIMÃO BLAGITZ FERRAZ,264.557,12328,46.6,12529,98.3,0.748,7.41,72260402.85,68871046.93,20338.59
Dumont,3514601,dumonense,ROGERSON APARECIDO BURJALON RUIZ,111.376,9471,85.04,9719,97.6,0.744,-,64881045.79,62596384.61,33647.69
Echaporã,3514700,echaporense,RONALDO GAZETA,515.258,6205,12.04,6295,98.8,0.745,-,53580027.27,47182204.57,25295.64
