Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Eldorado,3514809,eldoradense,NOEL CASTELO DA COSTA,1654.256,13069,7.9,13162,97.3,0.691,20.55,86486907.64,91284867.7,21122.95
Elias Fausto,3514908,elias-faustense,JOAQUIM ANTONIO DE CAMPOS BICUDO,202.36,17699,87.46,18103,97.3,0.695,36.84,121073719.8,129456996.3,55521.14
Elisiário,3514924,elisiarense,CASSIO ROBERTO BERTELLI,93.98,3138,33.39,3189,98.6,0.747,-,33851327.33,30509877.48,20323.57
Embaúba,3514957,embaubense,NERCILIO PINHEIRO DA SILVA,83.129,2323,27.94,2353,100,0.73,-,30995304.56,26940243.38,23385.21
Embu das Artes,3515004,embuense,HUGO DO PRADO SANTOS,70.398,250691,3561.05,259323,96.8,0.735,10.47,1209013638,1271673877,51258.86
Embu-Guaçu,3515103,embu-guaçuense,ANDRÉ GEORGE NERES DE FARIAS,155.641,66970,430.29,68805,97.1,0.749,9.27,258742075.1,255453842,20683.01
Emilianópolis,3515129,emilianópolense,ELTON MUNHOZ DE SOUZA,225.167,3014,13.39,3062,97.3,0.727,-,28927524.09,27312376.65,24451.77
Engenheiro Coelho,3515152,engenheiro coelhense,PEDRO FRANCO DE OLIVEIRA,109.941,19566,177.97,20139,98.5,0.732,15.63,106987857.2,117791590.5,30446.44
Espírito Santo do Pinhal,3515186,pinhalense,SERGIO DEL BIANCHI JUNIOR,389.235,39816,102.29,40681,97.9,0.787,12.69,198622102.2,185729412.2,46311.65
Espírito Santo do Turvo,3515194,espírito santense,GILBERTO NASCIMENTO BERTOLINO,193.666,4157,21.46,4217,97.4,0.696,-,42756724.8,39299395.45,18630.23
Estrela d'Oeste,3515202,estrelense,PEDRO DE SENZI NETO,296.281,9417,31.78,9655,99,0.76,11.9,82259540.14,81017050.6,89460.5
Estrela do Norte,3515301,estrelense,ALBERTO MARTINS DE OLIVEIRA,264.987,2703,10.2,2749,98.9,0.74,43.48,30576736.78,28445378.69,22511.33
Euclides da Cunha Paulista,3515350,euclidense,DOMINGOS MENTE LOPES,573.894,7924,13.81,7928,98.5,0.704,10.75,54903742.78,48924659.55,14708.88
Fartura,3515400,farturense,LUIZ MARCOS DE SOUZA,429.171,16641,38.77,16984,97.4,0.732,11.17,106437244.6,98728584.88,29419.47
Fernandópolis,3515509,fernandopolense,JOÃO PAULO SALES CANTARELLA,549.797,71186,129.48,73286,99.4,0.797,3.99,363856498.8,366998026.5,35430.06
Fernando Prestes,3515608,fernando-prestense,MARIEL SEBASTIÃO ROCHA,169.99,5942,34.95,6066,96.5,0.758,-,43691795.56,40616728.79,35416.65
Fernão,3515657,fernãoense,EBER ROGÉRIO ASSIS,100.504,1656,16.48,1689,99.1,0.703,-,27673890.05,26315999.68,46552.1
Ferraz de Vasconcelos,3515707,ferrazense,PRISCILA CONCEIÇÃO GAMBALE VIEIRA MATOS,29.547,179198,6064.85,185622,97.6,0.738,15.59,705995095.5,600526773.5,23863.13
Flora Rica,3515806,flora-riquense,FABIO LUIZ FLORENTINO DE FARIA,224.711,1487,6.62,1492,99.1,0.727,-,27071177.26,25544427.03,30176.19
Floreal,3515905,florealense,RAUL SCALON,204.236,2733,13.38,2756,96.2,0.747,-,34910911.86,32359017.92,28393.24
Flórida Paulista,3516002,floridense,JOSÉ ANDRIOTTI,524.138,12958,24.72,13171,98.9,0.715,11.24,63065985.1,56934920.14,17731.75
Florínea,3516101,florinense ou florineano,SERGIO LOPES DA SILVA,225.886,3851,17.05,3987,96.6,0.713,-,43863760.84,38692564.44,65354.84
Franca,3516200,francano,ALEXANDRE AUGUSTO FERREIRA,605.679,352536,582.05,364331,98.2,0.78,7.09,1284757051,1250579678,31450.1
Francisco Morato,3516309,moratense,ILDO DA SILVA GUSMÃO,49.001,165139,3370.11,171107,95.8,0.703,15.4,575162758.1,636510956.3,10439.01
Franco da Rocha,3516408,franco-rochense,LORENA RODRIGUES DE OLIVEIRA,132.775,144849,1090.94,149786,95.7,0.731,9.26,660356746.4,612755596.3,27126.51
Gabriel Monteiro,3516507,monteirense,RENEE CREMA VIDOTO,138.681,2763,19.92,2811,99.7,0.763,-,31085162.45,26966872.52,33755.37
Gália,3516606,galiense,JOSE SILVINO ZANIBONI JUNIOR,355.914,6380,17.93,6435,97,0.709,18.87,43057001.42,38708865.75,26907.52
Garça,3516705,garcense,JOSÉ ALCIDES FANECO,555.807,42110,75.76,43115,98.1,0.769,15.59,262331089.1,277556862.3,38831.12
Gastão Vidigal,3516804,vidigalense,DANIEL GUARNIERI CRIADO,180.569,3252,18.01,3235,96.6,0.723,-,31392687.06,29802408.51,17476.7
Gavião Peixoto,3516853,gavionense,ADRIANO MARÇAL DA SILVA,243.766,4702,19.29,4797,98.7,0.719,-,93203956.04,99281642.26,244615.79
General Salgado,3516903,salgadense,THIAGO FRANCISQUINI VIANA,494.376,10312,20.86,10449,98.5,0.747,10.42,74031772.4,76089642.65,25343.09
Getulina,3517000,getulinense,MARIO TADEU CELESTINO RIBEIRO,676.755,10232,15.12,10355,99.4,0.717,-,64416445.79,59415844.79,18806.06
Glicério,3517109,glicerense,HAIRTON KELSINE CARVALHO OLIVEIRA,272.8,4138,15.17,4173,98.5,0.735,52.63,43076228.93,42445102.83,25880.65
Guaiçara,3517208,guaiçarense,FLAVIA RAMOS BITTENCOURT LEÃO CABRAL,277.154,11239,40.55,11459,98.4,0.739,6.85,63600550.7,57178965.8,18704.97
Guaimbê,3517307,guaimbeense,MARCIA HELENA PEREIRA CABRAL ACHILLES,217.811,5512,25.31,5606,99,0.728,19.61,42747839.25,43318673.57,76293.81
Guaíra,3517406,guairense,ANTONIO MANOEL DA SILVA JUNIOR,1258.465,39279,31.21,40424,97.8,0.753,9.15,317651072.5,317516824.9,65519.59
Guapiaçu,3517505,guapiaçuense,CARLOS CESAR ZAITUNE,325.126,21711,66.78,22316,98,0.725,21.19,132102781.7,128404914.5,40585.65
Guapiara,3517604,guapiense,JOSÉ MATHEUS RODOLFO DE FREITAS,408.292,17071,41.81,17256,96.7,0.675,10.31,92905385.97,91734317.31,25989.08
Guará,3517703,guaraense,FILIPE FURTADO DA ROCHA,362.183,18606,51.37,18790,98,0.718,-,131219382.3,123952541.9,28896.21
Guaraçaí,3517802,guaraçaiense,AIRTON JOSÉ GOMES,569.197,7441,13.07,7486,98,0.719,-,56256827.15,61043739.76,39546.1
Guaraci,3517901,guaraciense,RENATO AZEDA RIBEIRO DE AGUIAR,641.501,10350,16.13,10542,97,0.737,-,103633630.9,100850849.7,32986.54
Guarani d'Oeste,3518008,guaraniense,EDMILSON PIRES DO CARMO,85.7,1968,22.96,1999,95.6,0.732,-,28009112.74,24248684.8,18556.87
Guarantã,3518107,guarantãense,MARCOS ROBERTO FRUGERI,461.746,6427,13.92,6531,98.9,0.713,23.53,46004903.95,46226553.19,29367.05
Guararapes,3518206,guararapense,ALEX PERAMO DE ARRUDA,955.637,31043,32.48,31872,99.6,0.763,6.51,181191209.6,174424484,36072.94
Guararema,3518305,guararemense,JOSÉ LUIZ EROLES FREIRE,270.816,31236,115.34,32436,97.3,0.731,11.76,369419295.9,424012798.9,50771.09
Guaratinguetá,3518404,guaratinguetaense,ANTONIO GILBERTO FILIPPO FERNANDES JUNIOR,752.636,118044,156.84,121710,97.8,0.798,9.13,558496302.7,555229238.7,63948
Guareí,3518503,guareiense,REINALDO VICENTE DE SOUZA,567.884,15013,26.44,15268,96.3,0.687,7.52,81760145.41,76675684.89,16300.18
Guariba,3518602,guaribense,FRANCISCO DIAS MANCANO JUNIOR,270.289,37498,138.73,38609,97.3,0.719,8.91,202632008.8,202089959.9,27783.09
Guarujá,3518701,guarujaense,FARID SAID MADI,144.794,287634,1986.5,294973,95.9,0.751,17.18,2290901866,2342987124,32292.29
Guarulhos,3518800,guarulhense,LUCAS SANCHES PROMESSIA,318.675,1291771,4053.57,1345364,97.1,0.763,13.29,6350141744,6030986731,55084.22
Guatapará,3518859,guataparaense,AILTON APARECIDO DA SILVA,413.567,7320,17.7,7462,99.1,0.743,-,57466379.86,52074244.02,31618.94
Guzolândia,3518909,guzolandense,LUIZ ANTONIO PEREIRA DE CARVALHO,252.477,4246,16.82,4276,85.3,0.697,-,34440253.63,30328844.6,17505.62
Herculândia,3519006,herculandense,PAULO SERGIO DE OLIVEIRA,364.252,9125,25.05,9302,98.4,0.727,9.35,61614779.43,57430238.16,36890.4
Holambra,3519055,holambrense,FERNANDO HENRIQUE CAPATO,65.577,15094,230.17,15596,98.8,0.793,12.93,156106509.2,144271326.2,93777.73
Hortolândia,3519071,hortolandense,JOSE NAZARENO ZEZE GOMES,62.416,236641,3791.35,247331,97.5,0.756,10.67,1462747556,1422428560,77357.5
Iacanga,3519105,iacanguense,APARECIDA DE FÁTIMA PINHEIRO,547.393,10437,19.07,10633,96.7,0.745,7.52,87325425.73,80786304.39,54825.02
Iacri,3519204,iacriense,CLEBER ROGERIO CERBANTES PANHOZZI,321.948,6131,19.04,6207,99.4,0.733,29.85,43529601.47,39078775.34,50533.65
Iaras,3519253,iarense,PATRICK HERNANDES MORALES,401.381,8010,19.96,8257,98.5,0.674,-,56643355.03,51148268.43,17261.62
Ibaté,3519303,ibateense,RONALDO RODRIGO VENTURI,290.977,32178,110.59,33110,97.6,0.703,9.39,158461829.9,166628598.2,32354.27
Ibirá,3519402,ibiraense,NIVALDO DOMINGOS NEGRÃO,271.912,11690,42.99,11934,98.4,0.74,7.69,76086490.14,71035012.02,25170.21
Ibirarema,3519501,ibiraremense,JOSE BENEDITO CAMACHO,228.23,6385,27.98,6461,97.4,0.708,66.67,52942811.87,47618026.32,30862.28
Ibitinga,3519600,ibitinguense,FLORISVALDO ANTONIO FIORENTINO,689.391,60033,87.08,61908,95.8,0.747,13.93,296217419.6,275405533.1,32137.74
Ibiúna,3519709,ibiunense,MARIO PIRES DE OLIVEIRA FILHO,1058.082,75605,71.45,77651,95.8,0.71,14.31,355568430.5,340773584.2,29609.37
Icém,3519808,icense,APARECIDA SALISSO,362.355,7819,21.58,7969,98.5,0.72,-,74886856.26,68843782.99,25025.6
Iepê,3519907,iepense,MARTA PATRICIA STONIS DA COSTA,594.974,7619,12.81,7739,97.9,0.736,35.29,67916937.29,63322901.78,52789.96
Igaraçu do Tietê,3520004,iguaraçuense,CARLOS ALBERTO VARASQUIM,97.747,23106,236.39,23430,98.8,0.727,8.73,120561345.6,104758840.8,15357.34
Igarapava,3520103,igarapavense,JOSÉ HUMBERTO LACERDA RODRIGUES,468.355,26212,55.97,26755,97.8,0.768,3.58,189673267.9,179913352.5,42208.35
Igaratá,3520202,igaratense,GABRIEL GOMES PRIANTI DE JESUS,292.953,10605,36.2,10904,99.1,0.711,14.39,85714352.75,77953753.11,24936.71
Iguape,3520301,iguapense,SALVADOR JOSÉ BARBOSA JUNIOR,1978.795,29115,14.71,29881,99.5,0.726,6.54,191922775.9,189592144.4,51053.14
Ilhabela,3520400,ilhabelense,ANTONIO LUIZ COLUCCI,346.389,34934,100.85,36329,98.3,0.756,6.19,1023355528,1209718329,385605.85
Ilha Comprida,3520426,ilha compridense,MARISTELA OSÓRIO DE MARQUES CARDONA,196.567,13419,68.27,13955,98.2,0.725,20.55,137235099,139237594.1,118036.8
Ilha Solteira,3520442,ilhense,RODRIGO BATISTA GONÇALVES,652.641,25549,39.15,26240,99.3,0.812,18.52,214708229.2,215785769.9,26261.81
Indaiatuba,3520509,indaiatubano,CUSTÓDIO TAVARES DIAS NETO,311.545,255748,820.9,267796,98.2,0.788,9.68,2118789984,1911914333,87525.86
Indiana,3520608,indianense,WHESLEN THIEGO SCAIONE CACHOEIRA,129.367,5090,39.35,5191,98,0.761,-,32438918.09,29756087.78,17846.96
Indiaporã,3520707,indiaporãense,BERNADETE APARECIDA SANTANA RIBEIRO SPONQUIADO,279.606,4035,14.43,4109,98.5,0.751,-,40203615.54,38422050.55,28664.34
Inúbia Paulista,3520806,inubense,FERNANDO ROSSI,87.119,3615,41.49,3671,98.3,0.759,-,30773113.98,26127245.89,33790.08
Ipaussu,3520905,ipauçuense,LUIZ CARLOS SOUTO,209.554,13712,65.43,13933,97.9,0.727,40.46,93594215.4,88640040.29,32911.22
Iperó,3521002,iperoense,LEONARDO ROBERTO FOLIM,170.289,36459,214.1,37999,98.9,0.719,13.26,186198985.3,182205992,25010.8
Ipeúna,3521101,ipeunense,MARIA LUISA ZANONI PRATA,190.01,6831,35.95,6999,98.8,0.753,-,58619551.92,53679807.48,121154.37
Ipiguá,3521150,ipiguaense,EFRAIM GARCIA LOPES,136.028,6761,49.7,7037,98.5,0.73,13.7,40309165.71,37954307.04,22360.76
Iporanga,3521200,iporanguense,MARCOS DOS SANTOS DOMINGOS,1152.059,4046,3.51,4091,97.3,0.703,40.82,41515232.72,36440985.45,15181.67
Ipuã,3521309,ipuãnense,RONYWERTON MARCELO ALVES PEREIRA,466.461,14454,30.99,14691,98,0.749,13.61,110045312.4,107590601.9,26361.5
Iracemápolis,3521408,iracemapolense,NELITA CRISTINA MICHEL FRANCESCHINI,115.118,21967,190.82,22435,95.7,0.776,13.57,155021322.6,153505901,85178.34
Irapuã,3521507,irapuense,RENI APARECIDA DA SILVA,257.612,6867,26.66,6946,97.9,0.713,18.87,43377132.62,43670549.45,22987.71
Irapuru,3521606,irapuruense,ADEMAR CALEGÃO,214.461,7085,33.04,7145,95.1,0.712,-,40449186.17,37866262.19,13115.75
Itaberá,3521705,itaberaense,CÉLIO RONALDO GOMES DE LIMA,1100.247,17983,16.34,18258,97.9,0.693,14.93,120897594.3,105579498,58380.87
Itaí,3521804,itaiense,JOSE RAMIRO ANTUNES DO PRADO,1092.884,25180,23.04,25930,97.9,0.713,14.62,189763899.5,188930679.2,33471.94
Itajobi,3521903,itajobiense,SIDIOMAR UJAQUE,502.066,16989,33.84,17420,94.9,0.73,24.75,122637086.6,111637075.8,61001.88
Itaju,3522000,itajuense,JERRI DE SOUZA NEIVA,230.355,3618,15.71,3702,98.7,0.705,-,36798892.43,35618760.72,58993.27
Itanhaém,3522109,itanhaense,TIAGO RODRIGUES CERVANTES,601.711,112476,186.93,117435,97.5,0.745,9.04,627091641.1,687240527.2,22704.86
Itaoca,3522158,itaoquense,FREDERICO DIAS BATISTA,183.015,3422,18.7,3490,98.8,0.68,45.45,1361518.11,32950275.05,16009.98
Itapecerica da Serra,3522208,itapecericano,RAMON PIRES CORSINI,150.742,158522,1051.61,163928,96.8,0.742,9.63,693626474.1,679825024.2,27338.58
Itapetininga,3522307,itapetiningano,JEFERSON RODRIGO BRUN,1789.35,157790,88.18,163774,96.4,0.763,11.77,771380104.2,771636943.3,38058.01
Itapeva,3522406,itapevense,ADRIANA DUCH MACHADO,1826.258,89728,49.13,92324,98.4,0.732,15.18,541684449.2,533647926.9,39783.21
Itapevi,3522505,itapeviense,MARCOS FERREIRA GODOY,82.658,232297,2810.34,241924,96.5,0.735,14.64,1167174075,1129557838,52656.14
Itapira,3522604,itapirense,ANTONIO HÉLIO NICOLAI,518.416,72022,138.93,73919,98,0.762,10.72,480978323.8,490561950.8,62845.44
Itapirapuã Paulista,3522653,itapirapuã paulistense,JULIO CESAR DO AMARAL,406.478,4306,10.59,4405,99,0.661,-,33850947.29,33731110.57,12247.37
Itápolis,3522703,itapolitano,VLADIMIR DO CARMO REGGIANI,996.747,39493,39.62,40464,98.4,0.744,9.46,224584854.5,230269457.5,37459.11
Itaporanga,3522802,itaporanguense,FABIO BRUNO GURGEL BENINI,507.997,14085,27.73,14260,97.9,0.719,-,86360134.57,75840505.52,20103.59
Itapuí,3522901,itapuiense,MARIA CLELIA VIARO PICHELLI,140.023,13659,97.55,13984,96.5,0.725,20.83,90428133.42,86424812.38,70205.57
Itapura,3523008,itapurense,SERGINO DA SILVA PRADO,301.653,3979,13.19,4014,98,0.72,-,46447967.03,43745177.71,20950.66
Itaquaquecetuba,3523107,itaquaquecetubense,EDUARDO BOIGUES QUEROZ,82.622,369275,4469.45,382521,96.4,0.714,14.14,1164585173,1197260261,25112.29
Itararé,3523206,itarareense,JOÃO JORGE FADEL FILHO,1003.86,44438,44.27,45327,98,0.703,8.82,229298859.1,197993470,23286.15
Itariri,3523305,itaririense,CARLOS ROCHA RIBEIRO,273.667,15528,56.74,15762,96.4,0.677,6.54,81856420.09,79955414.2,24725.72
Itatiba,3523404,itatibense,THOMÁS ANTONIO CAPELETTO DE OLIVEIRA,322.269,121590,377.29,126403,97.8,0.778,14.18,748367169.9,707461902.5,66360.02
Itatinga,3523503,itatinguense,PAULO HENRIQUE DE OLIVEIRA ROQUE,979.817,19070,19.46,19427,98,0.706,28.11,120736892.1,121918007.7,18764.35
Itirapina,3523602,itirapinense,MARIA DA GRAÇA ZUCCHI MORAES,564.603,16148,28.6,16433,97.8,0.724,12.74,138479188,138040288.1,68413.96
Itirapuã,3523701,itirapuãnense,GERSON LUIZ ALVES,161.118,5779,35.87,5861,99.1,0.707,-,32641764.02,27032640.51,24568.81
Itobi,3523800,itobiano,JOAQUIM CÂNDIDO FILHO,138.986,8046,57.89,8210,98.6,0.717,-,35749694.56,33499071.45,25230.99
Itu,3523909,ituano,HERCULANO CASTILHO PASSOS JUNIOR,640.719,168240,262.58,174561,94.3,0.773,9.06,1359074978,1272539159,59502.19
Itupeva,3524006,itupevense,ROGÉRIO CAVALIN,200.876,70616,351.54,74119,97.4,0.762,14.59,598792690.2,596912701.6,130938.58
Ituverava,3524105,ituveravense,LUIZ ANTÔNIO DE ARAÚJO,704.659,37571,53.32,38451,97.9,0.765,15.22,260788053.5,260992939.7,45131.05
Jaborandi,3524204,jaborandiense,SILVIO VAZ DE ALMEIDA,273.438,6221,22.75,6293,98.3,0.711,37.04,56181069.51,52702493.01,22013.21
Jaboticabal,3524303,jaboticabalense,EMERSON RODRIGO CAMARGO,706.602,71821,101.64,73467,97.9,0.778,9.6,477586939.3,499049193.8,46151.86
Jacareí,3524402,jacareiense,CELSO FLORÊNCIO DE SOUZA,464.272,240275,517.53,249968,98.3,0.777,9.33,1414823413,1485224136,67874.93
Jaci,3524501,jaciense,VALÉRIA PERPÉTUO GUIMARÃES HENRIQUE,145.133,7613,52.46,7878,97.7,0.723,-,51758652.37,44763217.29,92434.87
Jacupiranga,3524600,jacupiranguense,JOÃO BATISTA DE ANDRADE,704.136,16097,22.86,16254,97.4,0.717,5.52,104229603.6,100672013.4,29651.56
Jaguariúna,3524709,jaguariunense,DAVID HILARIO NETO,141.391,59347,419.74,61801,98,0.784,8.96,685942950.8,648640411.5,233328.91
Jales,3524808,jalesense,LUIS HENRIQUE DOS SANTOS MOREIRA,368.574,48776,132.34,50017,98.9,0.776,2,273795662.2,290969820.8,40212.72
Jambeiro,3524907,jambeirense,ARIES MARIOTO FERREIRA,184.413,6397,34.69,6575,97.7,0.756,-,62841358.64,57840987,51684.83
Jandira,3525003,jandirense,HENRI HAJIME SATO,17.449,118045,6765.14,121988,96.9,0.76,13.69,500164611.5,588879132.3,38426.42
Jardinópolis,3525102,jardinopolense,ANTONIO CARLOS DEGAN,501.87,45282,90.23,46868,97.1,0.735,11.83,255382527.7,251788026.7,34708.42
Jarinu,3525201,jarinuense,DÉBORA CRISTINA DO PRADO BELINELLO,207.549,37535,180.85,39531,98.2,0.733,16.59,231962801.9,211588533,96153.71
Jaú,3525300,jauense,JORGE IVAN CASSARO,687.103,133497,194.29,137323,97.8,0.778,6.08,649374970,637236674.4,36376.16
Jeriquara,3525409,jeriquarense,ELAINE PINHEIRO DE PAULA MANSANO GARCIA,141.971,3863,27.21,3976,98,0.703,-,37567208.4,35953339.2,53750.36
Joanópolis,3525508,joanopolitano,CRISTIANO BENEDITO,374.293,12815,34.24,13095,95.8,0.699,8.2,76755649.69,72162023.85,19442.33
João Ramalho,3525607,ramalhense,DIRCE DA CONCEICAO BUBOLA VALEJO,415.452,4371,10.52,4456,99.4,0.741,-,43056966.15,40378149.51,32483.14
José Bonifácio,3525706,bonifaciano,MARCELO CATARUCI DE ALMEIDA,860.2,36633,42.59,37859,99,0.777,11.85,193097468.8,179870011.5,36644.42
Júlio Mesquita,3525805,júlio-mesquitense,ELTON FRANCISCO DE BRITO,128.183,4254,33.19,4308,97.7,0.716,17.86,32954115.42,33808687.26,12197.96
Jumirim,3525854,jumirense,DANIEL VIEIRA,56.685,3056,53.91,3123,99.2,0.741,-,40486608.92,41537342.38,61724.71
Jundiaí,3525904,jundiaiense,GUSTAVO MARTINELLI,431.204,443221,1027.87,460313,98.2,0.822,10.65,3476557893,3544626740,135081.2
Junqueirópolis,3526001,junqueiropolense,ELIO FURINI NETO,582.565,20448,35.1,20878,96.8,0.745,10.26,122212861.8,113442291.3,38510.78
Juquiá,3526100,juquiaense,CICERO CIRILO DOS SANTOS,812.799,17154,21.1,17255,97.7,0.7,19.01,97268828.47,93175140.04,19673.56
Juquitiba,3526209,juquitibense,WILLIANS SOARES RODRIGUES,522.169,27404,52.48,28007,98.5,0.709,23.19,146037197.8,145482633.8,18025.29
Lagoinha,3526308,lagoinhense,JOSÉ GUILHERME CORRÊA GOMES,255.472,5083,19.9,5182,99,0.693,25.64,41674138.75,37543235.76,15150.97
Laranjal Paulista,3526407,laranjalense,ANTONIO VALDECIR BERTO FILHO,384.274,26261,68.34,27009,98.1,0.729,2.99,172127126.5,171589181.5,48579.92
Lavínia,3526506,lavinense,SALVADOR CAZUO MATSUNAKA,537.675,9689,18.02,9909,98.6,0.721,-,60386988.32,54838499.13,14696.45
Lavrinhas,3526605,lavrinhense,MARCOS VINICIUS FRANQUEIRA GARCIA,167.067,7171,42.92,7328,98.5,0.729,10.31,43985071.64,43063773.36,18111.28
Leme,3526704,lemense,CLAUDEMIR APARECIDO BORGES,402.871,98161,243.65,101316,97.7,0.744,11.82,562660275,526866937.9,38964.09
Lençóis Paulista,3526803,lençoiense,ANDRE PACCOLA SASSO,809.541,66505,82.15,68395,99,0.764,9.67,482704619.5,460488506.5,70818.58
Limeira,3526902,limeirense,MURILO BERBERT AVIGO FELIX,580.711,291869,502.61,300728,97.7,0.775,12.6,1738527699,1782064378,51678.31
Lindóia,3527009,lindoiano,LUCIANO FRANCISCO DE GODOI LOPES,48.756,7014,143.86,7147,97.4,0.742,-,61686301.95,61073730.81,30018.14
Lins,3527108,linense,JOÃO LUIS LOPES PANDOLFI,570.058,74779,131.18,76729,98.4,0.786,11.29,375836761.1,380470216.6,85642.71
Lorena,3527207,lorenense,SYLVIO BALLERINI,414.16,84855,204.88,87370,97.2,0.766,14.59,383647462.9,403570667.3,43299.19
Lourdes,3527256,lourdense,ODECIO RODRIGUES DA SILVA,113.94,1950,17.11,1968,98.4,0.742,-,29312120.95,28805689.51,18818.34
Louveira,3527306,louveirense,PAULO ALBERTO FINAMORE,55.738,51847,930.19,54111,97.3,0.777,9.85,680192719.1,720214435.4,385773.53
Lucélia,3527405,luceliense,TATIANA GUILHERMINO TAZINÁZZIO,314.81,20061,63.72,20372,99.4,0.752,23.26,102326100.8,95908188,26531.25
Lucianópolis,3527504,lucianopolense,ADEMIR MANTOVANELLI,189.536,2372,12.51,2419,99.1,0.733,-,29823895.49,26815998.49,29214.5
Luís Antônio,3527603,luís-antoniense,RODRIGO MELLO MARQUES,598.257,12265,20.5,12531,99.4,0.731,-,126178670,109773381.2,99603.69
Luiziânia,3527702,luiziano,RAPHAEL SARAIVA BARRETO,166.576,4701,28.22,4751,92.8,0.702,-,35799899.02,32823698.35,15851.42
Lupércio,3527801,lupercense,CLEBER MENEGUCCI,155.171,3981,25.66,4017,94.5,0.724,-,31267186.21,26125545.45,21340.47
Lutécia,3527900,luteciano,LAUDEMIR LEATI,475.226,2661,5.6,2699,93.7,0.72,50,35270088,32193765.6,38571.53
Macatuba,3528007,macatubense,ANDERSON FERREIRA,224.514,16829,74.96,17120,99.3,0.77,12.42,128156917.3,129357781.2,37292.64
Macaubal,3528106,macaubalense,ACACIO TARDOQUE FERREIRA,248.087,7481,30.15,7587,97.9,0.743,-,46088119.31,45707335.01,24094.91
Macedônia,3528205,macedoniense,REGINALDO ELOY MARCOMINI DOS REIS,327.567,3963,12.1,4048,99.3,0.74,-,37885116.6,32857712.33,24669.23
Magda,3528304,magdense,RODOLFO FERREIRA KAMÁ,312.282,3165,10.14,3212,96.5,0.753,38.46,39632169.17,38300158.54,33742.07
Mairinque,3528403,mairinquense,CARLOS EDUARDO THOMAZ PEDROSO,210.149,50027,238.05,51660,96.9,0.743,10.29,252377603.8,258429491.1,56474.15
Mairiporã,3528502,mairiporense,WALID ALI HAMID,320.697,93853,292.65,97399,98.1,0.788,10.54,528198255.9,563933049.6,22076.24
Manduri,3528601,mandurinense,PAULO ROBERTO MARTINS,229.046,9871,43.1,10092,98.9,0.739,-,58302631.53,48828820.07,29272.78
Marabá Paulista,3528700,marabaense,APARECIDO NASCIMENTO SOBRAL,919.519,4573,4.97,4627,99,0.677,-,42846010.66,43676508.18,25999.5
Maracaí,3528809,maracaiense,PAULO EDUARDO DA SILVA,533.498,12673,23.75,12826,98.3,0.771,9.43,93300506.7,82252614.75,36775.73
Marapoama,3528858,marapoamense,LOURENÇO LORENCETI,111.267,3292,29.59,3392,99.4,0.752,31.25,38927661.04,35921233.66,38648.5
Mariápolis,3528908,mariapolense,RICARDO MITSURO WATANABE,186.544,3513,18.83,3539,97.5,0.718,-,28957810.34,25357269.59,18663.17
Marília,3529005,mariliense,VINICIUS ALMEIDA CAMARINHA,1170.515,237627,203.01,246627,97.8,0.798,15.29,1383250370,1510687108,40272.45
Marinópolis,3529104,marinopolense,EVALDO RIBEIRO,77.827,1860,23.9,1870,97.6,0.731,-,25892999.77,28639732.05,19070.41
Martinópolis,3529203,martinopolense,VALDECI SOARES DOS SANTOS FILHO,1253.564,24881,19.85,25299,98.1,0.721,7.69,140480861.9,129688198.5,28179.26
Matão,3529302,matonense,APARECIDO FERRARI,524.899,79033,150.57,80998,97.7,0.773,8.91,460572218.6,409618428,63716.37
Mauá,3529401,mauaense,FRANCISCO MARCELO DE OLIVEIRA,61.937,418261,6753.01,429380,97.4,0.766,13.21,1661556494,1568673962,43128.78
